name alpha L m OBJ GAP CPU nodes obj_bound root_time root_obj root_bound frac_time frac_calls int_time int_calls total_cuts frac_conn conn noverlap 0noverlap proper_noverlap depot_flyover synchro compl_time y(N) z(H) w(N) LP_time LP_obj
poi-20-6 2 12.7137 2 216 0 0.300535 42 216 0.139503 1e+100 216 0.002084 47 0.015179 22 111 0 79 23 0 0 6 3 216 13 7/140 0 0.0524921 216
poi-20-6 2 12.7137 3 216 0 0.094775 1 216 0.084373 216 216 6.1e-05 1 0.010183 8 58 0 44 11 1 0 2 0 216 13 7/140 0 0.0531271 216
poi-20-6 2 25.4274 1 157.954 0 32.7651 3354 157.954 1.61938 1e+100 141.319 0.163899 2361 0.077819 53 902 441 183 227 5 0 20 26 157.954 11 9/1696 7.51854 1.61275 138.107
poi-20-6 2 25.4274 2 136.344 0 102.373 2600 136.344 7.44285 1e+100 118.642 0.176291 2053 0.125752 57 1859 1239 102 404 21 0 71 22 136.344 8 12/1696 5.34407 16.9549 125
poi-20-6 2 25.4274 3 130.967 0 99.5655 5149 130.967 15.2053 173 120.429 0.169002 3671 0.121175 80 872 282 304 205 14 0 41 26 130.967 7 13/1696 0.966885 13.6384 125
poi-20-7 2 15.89 1 208.105 0 0.959021 356 208.105 0.460723 1e+100 201.106 0.013943 216 0.022532 25 193 18 67 89 0 0 16 3 208.105 13 7/340 3.10458 0.218468 199
poi-20-7 2 15.89 2 199.564 0 2.95065 1790 199.564 0.946838 1e+100 193.192 0.049197 1077 0.064124 49 330 5 69 198 4 0 48 6 199.564 11 9/340 5.56372 2.51484 194
poi-20-7 2 15.89 3 196.219 0 3.73492 1635 196.219 3.13063 196.219 192.426 0.046225 1101 0.058659 43 198 0 33 118 2 0 39 6 196.219 11 9/340 2.21888 1.56721 194
poi-20-7 2 31.78 1 184.543 0 52.256 4447 184.543 4.24546 931 167.773 0.188327 2980 0.109592 66 741 311 110 253 6 0 30 31 184.543 11 9/2240 3.21888 5.12517 170
poi-20-7 2 31.78 2 166 0 176.902 3898 166 24.62 931 145.265 0.162447 2860 0.16992 64 704 103 50 414 19 0 70 48 166 8 12/2240 0 28.2815 152
poi-20-7 2 31.78 3 165 4.588e-05 469.134 26507 164.992 29.7129 185 142.595 0.944129 16206 0.447094 126 1846 261 25 1084 84 0 305 87 165 6 14/2240 0 10.5855 150
poi-20-8 2 17.2809 1 202.127 0 6.16569 919 202.127 4.44634 205.724 188.982 0.041717 544 0.057928 54 705 167 279 215 0 0 42 2 202.127 13 7/438 5.12674 0.669063 178.203
poi-20-8 2 17.2809 2 196 0 14.6063 3751 196 0.502174 1e+100 185.211 0.139319 2253 0.297092 184 1935 568 172 866 0 0 319 10 196 11 9/438 0 0.642804 174.203
poi-20-8 2 17.2809 3 191 0 5.60454 1781 191 0.622724 1e+100 183.023 0.158568 1177 0.179098 109 2420 1784 124 345 0 0 162 5 191 12 8/438 0 1.26652 174.203
poi-20-8 2 34.5618 1 185.774 0 83.6085 5983 185.774 7.72287 1e+100 161.325 0.274968 3872 0.162506 82 1375 619 352 323 1 0 45 35 185.774 11 9/2914 0.774045 6.6989 150
poi-20-8 2 34.5618 2 172.591 0 545.376 28183 172.591 30.5828 170 142.023 1.03337 16839 0.587803 200 3129 1123 307 1213 23 0 338 125 172.591 9 11/2914 0.590515 16.3691 136
poi-20-8 2 34.5618 3 166.38 0 706.742 28083 166.38 34.9098 183 143.362 1.21388 17972 0.785485 277 3540 1284 334 1241 24 0 491 166 166.38 7 13/2914 8.37994 11.0151 136
poi-20-9 2 16.0389 1 185.332 0 1.31473 752 185.332 0.350006 1e+100 175.799 0.027627 420 0.058592 45 519 24 148 293 0 0 48 6 185.332 13 7/226 6.33229 0.255488 163
poi-20-9 2 16.0389 2 180.476 0 1.39689 1054 180.476 0.393118 1e+100 171.191 0.031496 608 0.086895 60 491 58 85 265 1 0 71 11 180.476 12 8/226 2.47635 0.325672 161.55
poi-20-9 2 16.0389 3 179.748 0 2.67592 1361 179.748 1.67765 180.33 175.702 0.040976 820 0.106706 70 414 35 83 199 0 0 82 15 179.748 11 9/226 4.74784 0.430012 161.55
poi-20-9 2 32.0779 1 162.549 0 147.807 17542 162.549 1.54212 1e+100 143.289 0.69755 10801 0.427281 129 1985 370 88 1228 28 0 204 67 162.549 12 8/2114 4.54895 3.07959 132
poi-20-9 2 32.0779 2 145.15 0 283.083 15669 145.15 6.91894 1e+100 124.605 0.550327 10471 0.643143 223 2435 320 68 1481 77 0 358 131 145.15 8 12/2114 1.14954 9.0294 121
poi-20-9 2 32.0779 3 142.48 0 377.787 25339 142.48 19.05 1e+100 126.5 0.883256 17182 0.767598 312 2463 182 136 1410 76 0 517 142 142.48 6 14/2114 0 9.45605 121
poi-20-10 2 14.9172 1 208.112 0 0.791149 1 208.112 0.758056 208.112 207.349 0.004402 61 0.009933 16 94 0 57 31 0 0 6 0 208.112 15 5/164 7.11177 0.24331 203.751
poi-20-10 2 14.9172 2 202.112 0 0.246674 1 202.112 0.219296 202.112 200.498 0.000707 11 0.009961 16 68 0 51 13 0 0 4 0 202.112 12 8/164 7.11177 0.515358 202.112
poi-20-10 2 14.9172 3 202.112 0 0.305634 1 202.112 0.29442 202.112 200.438 0.000797 12 0.008816 14 56 4 40 8 0 0 4 0 202.112 13 7/164 7.11177 0.497661 202.112
poi-20-10 2 29.8345 1 168.659 0 17.0341 7662 168.659 2.22786 187.155 151.602 0.220565 4205 0.079251 47 548 134 49 295 12 0 28 30 168.659 11 9/1534 13.6595 1.91284 151
poi-20-10 2 29.8345 2 141.104 0 108.385 8636 141.104 3.54403 192 118.506 0.276717 5435 0.117711 70 839 310 73 337 24 0 39 56 141.104 8 12/1534 3.99763 2.91044 117
poi-20-10 2 29.8345 3 130.285 0 195.798 32102 130.285 12.9849 865 109.376 0.830353 19565 0.18555 101 655 30 83 363 61 0 56 62 130.285 7 13/1534 3.1778 27.6914 100.822
poi-25-1 2 15.0747 1 212.708 0 10.0977 1612 212.708 0.998196 1e+100 184.931 0.139411 958 0.096366 56 2566 1954 349 233 1 0 23 6 212.708 15 10/814 4.61271 0.494472 183.873
poi-25-1 2 15.0747 2 205.873 0 29.601 1529 205.873 1.67463 1e+100 183.946 0.382903 1319 0.136478 61 7240 6626 233 322 9 0 42 8 205.873 12 13/814 2.87298 2.16505 183.873
poi-25-1 2 15.0747 3 204.873 0 9.11959 1506 204.873 2.86293 211.873 188.452 0.32342 1093 0.152174 55 5154 4648 151 277 7 0 57 14 204.873 11 14/814 2.87298 4.98274 183.873
poi-25-1 2 30.1495 1 172.738 0 3103.57 61408 172.738 11.1305 1e+100 148.877 3.46515 34155 5.7917 308 15989 4645 485 9379 126 0 1302 52 172.738 15 10/4514 17.6424 6.21094 142
poi-25-1 2 30.1495 2 142.873 0.0518857 3600.27 61641 135.46 29.5104 1e+100 123.167 4.33462 45543 1.62929 195 - - - - - - - - - - - - 33.4317 115.059
poi-25-1 2 30.1495 3 140.972 0.0761952 3600.45 40472 130.231 28.5619 141.457 123.328 4.53783 33302 4.70517 386 - - - - - - - - - - - - 47.5027 105
poi-25-2 2 16.3119 1 197.564 0 5.75528 958 197.564 4.14484 199.393 182.815 0.054962 576 0.072929 28 321 17 37 224 5 0 25 13 197.564 16 9/456 2.5635 0.900877 179.564
poi-25-2 2 16.3119 2 183.811 0 22.17 9870 183.811 0.832567 1e+100 173.059 0.284907 5591 0.552936 137 2089 0 42 1647 85 0 283 32 183.811 13 12/456 10.8107 0.134446 173
poi-25-2 2 16.3119 3 179.296 0 18.7676 11126 179.296 0.475402 1e+100 172.5 0.348638 6941 0.375854 99 1069 0 34 775 50 0 177 33 179.296 12 13/456 6.29553 0.152902 173
poi-25-2 2 32.6239 1 178.773 0 2709.58 229811 178.773 22.7696 194.701 160.094 10.6296 120764 1.41292 121 3750 1244 265 1915 38 0 227 61 178.773 16 9/5580 7.43669 4.80959 155.924
poi-25-2 2 32.6239 2 138.222 0 3561.81 177096 138.222 82.3593 166.851 120.984 8.45689 102897 0.827696 133 2783 1442 213 854 28 0 117 129 138.222 11 14/5580 6.00461 34.142 117.602
poi-25-2 2 32.6239 3 126.008 0.0786986 3600.32 43754 116.091 296.849 139.994 102.611 3.34204 34621 1.18701 148 - - - - - - - - - - - - 1823.45 101.362
poi-25-3 2 14.705 1 178.189 0 1.4951 312 178.189 0.699773 1e+100 170.317 0.020359 183 0.03675 32 544 170 234 124 1 0 10 5 178.189 15 10/462 6.74774 1.1672 172.909
poi-25-3 2 14.705 2 176.189 0 2.30868 902 176.189 0.745514 1e+100 167.195 0.034602 528 0.094075 44 492 49 171 221 9 0 31 11 176.189 14 11/462 6.74774 1.22459 168.441
poi-25-3 2 14.705 3 174.909 0 11.7128 7122 174.909 0.786911 1e+100 163.652 0.248065 4479 0.196871 69 1307 722 87 393 20 0 66 19 174.909 13 12/462 4.46793 1.95574 168.441
poi-25-3 2 29.41 1 164.392 0 149.205 7875 164.392 30.4539 179.189 150.241 0.570088 5643 0.157916 61 2310 1738 313 207 0 0 27 25 164.392 15 10/3912 0 13.6178 153
poi-25-3 2 29.41 2 144 0 1377.75 17252 144 63.6437 164 121.124 1.5115 10660 0.53804 128 7045 5697 533 648 18 0 97 52 144 10 15/3912 0 35.9469 120
poi-25-3 2 29.41 3 133 0 1164.88 24503 133 77.4543 1e+100 101.807 1.34062 15104 0.582919 146 3282 1617 734 714 29 0 128 60 133 8 17/3912 0 614.477 105.099
poi-25-4 2 16.5477 1 220.188 0 55.8523 5158 220.188 1.48402 1e+100 195.922 0.417869 3376 0.145624 69 4007 3177 416 355 4 0 40 15 220.188 16 9/1128 2.18771 4.99885 202.396
poi-25-4 2 16.5477 2 203.198 0 192.32 12467 203.198 3.62488 265 186.277 0.730589 8240 0.368405 120 5054 3870 199 797 23 0 133 32 203.198 13 12/1128 5.19799 7.79539 189.002
poi-25-4 2 16.5477 3 195.058 0 53.5512 4296 195.058 3.71286 1e+100 187.404 0.187091 2980 0.365876 121 964 181 79 519 21 0 130 34 195.058 13 12/1128 0 4.79927 189.002
poi-25-4 2 33.0953 1 186.83 0 1320.02 63024 186.83 29.1112 205 170.726 3.36491 34580 1.19382 100 2988 1220 124 1372 20 0 176 76 186.83 15 10/7208 3.82979 12.9195 163.636
poi-25-4 2 33.0953 2 164.489 0.0820339 3600.58 26913 150.995 160.058 179 139.181 2.49482 21396 2.40371 170 - - - - - - - - - - - - 49.2127 136
poi-25-4 2 33.0953 3 157.642 0.070309 3600.69 33926 146.558 186.393 176 129.849 3.71277 27702 3.92583 316 - - - - - - - - - - - - 83.9747 131
poi-25-5 2 15.0479 1 225.474 0 3.20394 316 225.474 2.37473 232.474 216.263 0.017587 209 0.081738 38 363 0 100 233 0 0 29 1 225.474 14 11/304 10.4742 1.59472 220.474
poi-25-5 2 15.0479 2 214.474 0 1.04899 1 214.474 1.00283 214.474 211.855 0.002186 26 0.017865 10 79 0 38 34 1 0 6 0 214.474 12 13/304 11.4739 0.687052 214.474
poi-25-5 2 15.0479 3 214.474 0 1.3722 27 214.474 1.30446 214.474 211.265 0.004968 65 0.028253 17 91 0 37 43 0 0 11 0 214.474 12 13/304 11.4739 0.778482 214.474
poi-25-5 2 30.0957 1 184.066 0 225.567 14037 184.066 34.9688 253.937 170.179 0.690635 8351 0.350738 68 1111 150 257 576 12 0 74 42 184.066 16 9/3412 0.828787 5.26121 147.829
poi-25-5 2 30.0957 2 166.731 0.0550621 3600.21 70593 157.55 43.8206 1e+100 140.616 4.02824 52546 0.883977 154 - - - - - - - - - - - - 32.1978 122.683
poi-25-5 2 30.0957 3 151.231 0.0289933 3600.24 34096 146.846 153.669 183 126.383 2.94639 24516 1.0236 193 - - - - - - - - - - - - 25.2907 102
poi-25-6 2 15.6273 1 184.928 0 3.7574 991 184.928 1.03431 1e+100 171.385 0.041372 560 0.064811 31 444 89 99 221 0 0 26 9 184.928 14 11/644 3.71529 1.45628 172.974
poi-25-6 2 15.6273 2 178.109 0 8.12354 1978 178.109 3.31035 184.507 169.694 0.073346 1175 0.199964 66 607 60 42 389 0 0 104 12 178.109 13 12/644 0.973637 3.39351 172.974
poi-25-6 2 15.6273 3 175.805 0 7.6219 2519 175.805 3.73658 175.805 169.264 0.080313 1492 0.137941 50 350 0 70 198 0 0 67 15 175.805 12 13/644 5.80453 4.01921 170.974
poi-25-6 2 31.2546 1 172.226 0 2226.69 218895 172.226 27.2621 204 150.763 10.0272 119029 0.495517 119 1348 277 234 627 4 0 122 84 172.226 16 9/4512 1.14844 5.46216 139.594
poi-25-6 2 31.2546 2 152.401 0.135861 3600.29 40802 131.696 176.981 173 121.265 2.99793 33405 1.37622 187 - - - - - - - - - - - - 36.1804 116
poi-25-6 2 31.2546 3 133.802 0.125962 3600.29 41440 116.948 139.584 159 104.251 2.94881 34951 1.725 212 - - - - - - - - - - - - 247.446 107
poi-25-7 2 14.8512 1 189.492 0 3.10893 964 189.492 0.724852 1e+100 178.721 0.064067 582 0.067479 34 969 524 183 238 1 0 20 3 189.492 15 10/334 4.30216 1.43576 179.276
poi-25-7 2 14.8512 2 186.005 0 26.6318 5029 186.005 0.656477 1e+100 172.076 0.252264 3364 0.305045 108 1951 1041 129 630 7 0 130 14 186.005 13 12/334 7.00472 0.684433 173.18
poi-25-7 2 14.8512 3 179.774 0 14.0379 4596 179.774 0.777933 1e+100 171.278 0.193557 3419 0.195968 74 749 289 106 258 3 0 70 23 179.774 13 12/334 5.77352 0.838411 173.18
poi-25-7 2 29.7024 1 171.559 0 71.8296 4017 171.559 17.5202 174.401 161.843 0.234871 2787 0.131894 43 513 46 247 184 1 0 21 14 171.559 14 11/4076 4.55917 6.32016 150.302
poi-25-7 2 29.7024 2 142.477 0 744.86 17024 142.477 98.0757 162.271 125.361 0.845213 10362 0.419794 79 1596 648 219 586 15 0 83 45 142.477 11 14/4076 11.4769 14.4009 115
poi-25-7 2 29.7024 3 131.093 0 1418.46 12198 131.093 113.421 157 110.486 0.686344 7727 0.48571 112 1628 564 308 563 17 0 111 65 131.093 8 17/4076 5.09325 46.0007 102
poi-25-8 2 15.0913 1 232 0 8.24033 4685 232 0.453376 1e+100 208.647 0.216737 2551 0.116166 52 1179 748 120 260 0 0 49 2 232 16 9/300 0 1.52351 206.198
poi-25-8 2 15.0913 2 212.233 0 6.41126 2977 212.233 0.541049 1e+100 203.703 0.112246 1825 0.335645 132 1006 113 140 582 0 0 169 2 212.233 15 10/300 3.23335 0.729059 199.487
poi-25-8 2 15.0913 3 204.05 0 1.85286 664 204.05 0.736624 1e+100 201.32 0.024455 432 0.088525 43 411 80 191 103 0 0 37 0 204.05 12 13/300 0 1.25385 199.487
poi-25-8 2 30.1827 1 189.986 0 2429.17 163023 189.986 19.1305 205 172.258 8.03111 93814 0.834732 156 6039 4074 434 1259 29 0 136 107 189.986 15 10/4088 0.985695 8.68112 153
poi-25-8 2 30.1827 2 159.322 0.0766017 3600.27 79246 147.117 50.467 179 132.211 5.01326 61754 1.24998 163 - - - - - - - - - - - - 22.2529 121.465
poi-25-8 2 30.1827 3 140.198 0.0938498 3600.24 77241 127.041 72.8351 155 110.444 5.1159 60753 0.833326 137 - - - - - - - - - - - - 1608.59 103.315
poi-25-9 2 14.4642 1 227.405 0 9.35008 2329 227.405 0.625748 1e+100 212.754 0.135954 1347 0.162999 63 1737 914 269 482 3 0 61 8 227.405 16 9/492 1.40549 0.766584 214
poi-25-9 2 14.4642 2 216 0 1.77808 563 216 0.76713 1e+100 210.055 0.039847 350 0.066561 37 682 327 193 130 4 0 24 4 216 13 12/492 0 1.3836 212.938
poi-25-9 2 14.4642 3 214.938 0 2.34728 583 214.938 0.693425 226 210.152 0.061114 374 0.117783 50 866 523 171 139 3 0 28 2 214.938 12 13/492 3.93842 1.08452 212
poi-25-9 2 28.9284 1 183.271 0 401.27 32528 183.271 27.9108 201.162 166.811 1.5583 18676 0.337324 74 2073 1101 344 507 11 0 50 60 183.271 15 10/4156 2.03528 5.05626 158.603
poi-25-9 2 28.9284 2 155.069 0 1225.25 42052 155.069 114.175 178 136.967 1.83366 25273 0.577318 127 1726 682 118 658 24 0 82 162 155.069 10 15/4156 2.06948 30.4152 123
poi-25-9 2 28.9284 3 143.314 0 2178.78 71318 143.314 129.161 158 123.348 3.33912 43851 0.583646 119 1937 853 148 631 61 0 85 159 143.314 8 17/4156 3.31371 73.3306 117
poi-25-10 2 15.1637 1 200.429 0 6.66773 3456 200.429 0.672369 1e+100 182.387 0.153761 1920 0.095035 38 710 292 93 290 2 0 26 7 200.429 14 11/464 5.1475 1.49185 175
poi-25-10 2 15.1637 2 194.049 0 17.4486 9801 194.049 0.88738 1e+100 171.91 0.353634 5625 0.295161 101 1317 221 184 740 15 0 143 14 194.049 13 12/464 12.2681 1.29325 163.873
poi-25-10 2 15.1637 3 191.662 0 45.6804 20813 191.662 0.776072 1e+100 172.206 0.821055 13261 0.450548 141 1696 595 110 731 12 0 228 20 191.662 13 12/464 10.6622 1.11228 163.873
poi-25-10 2 30.3274 1 176.998 0 926.556 65993 176.998 11.6448 194 150.032 3.4284 39056 0.846787 118 4834 2644 635 1330 15 0 155 55 176.998 15 10/4236 1.99848 5.50735 143
poi-25-10 2 30.3274 2 159.56 0.119287 3600.36 26873 140.527 36.6418 151 121.242 5.46422 22792 0.604617 127 - - - - - - - - - - - - 21.25 105.281
poi-25-10 2 30.3274 3 147.264 0.11074 3600.23 21170 130.956 92.9603 151 110.262 2.23467 17459 0.929717 158 - - - - - - - - - - - - 24.5969 90
