name	alpha	beta	L	m	T	OBJ	GAP	CPU	Nodes	obj_bound
poi-30-2	1.0	0.67	12.0	2	95.0	641	0.0	18.8251	261.0	641.00
poi-30-2	1.0	0.67	12.0	2	190.0	1199	0.0	17.7079	588.0	1199.00
poi-30-2	1.0	0.67	12.0	3	95.0	648	0.0	11.3800	419.0	648.00
poi-30-2	1.0	0.67	12.0	3	190.0	1199	0.0	6.8322	123.0	1199.00
poi-30-2	1.0	0.67	25.0	1	95.0	654	0.0	167.9901	6678.0	654.00
poi-30-1	1.0	1.33	26.0	3	85.0	865	0.0	2858.0025	34120.0	865.00
poi-30-1	1.0	1.33	26.0	1	171.0	0	0.08714596949891068	3674.0498	62072.0	1497.00
poi-30-1	2.0	1.33	26.0	2	171.0	1735	0.0	1169.3606	5333.0	1735.00
poi-30-1	2.0	1.33	26.0	3	171.0	1753	0.0	1308.2014	6776.0	1753.00
poi-30-2	1.0	1.0	12.0	1	95.0	657	0.0	22.6570	1531.0	657.00
poi-30-2	1.0	1.0	12.0	1	190.0	1201	0.0	54.9377	2709.0	1201.00
poi-30-2	1.0	1.0	12.0	2	95.0	680	0.0	25.9110	1169.0	680.00
poi-30-2	1.0	1.0	12.0	2	190.0	1255	0.0	20.7804	954.0	1255.00
poi-30-2	1.0	1.0	12.0	3	95.0	680	0.0	19.1355	223.0	680.00
poi-30-2	1.0	1.0	12.0	3	190.0	1255	0.0	14.7923	1039.0	1255.00
poi-30-1	1.0	1.33	26.0	2	171.0	0	0.20224719101123595	3602.0452	12118.0	1712.00
poi-30-2	1.0	0.67	25.0	2	95.0	678	0.0	1455.0208	27046.0	678.00
poi-30-1	1.0	1.33	26.0	3	171.0	0	0.1644474034620506	3607.5718	12723.0	1749.00
poi-30-2	1.0	0.67	25.0	3	95.0	714	0.0	912.6284	17419.0	714.00
poi-30-2	1.0	0.67	25.0	1	190.0	1251	0.0	1928.4916	33085.0	1251.00
poi-30-2	1.0	1.0	25.0	1	95.0	701	0.0	834.1132	29821.0	701.00
poi-30-2	1.0	1.33	12.0	1	95.0	755	0.0	10.8859	398.0	755.00
poi-30-2	1.0	1.33	12.0	1	190.0	1311	0.0	35.9321	2774.0	1311.00
poi-30-2	1.0	1.33	12.0	2	95.0	778	0.0	23.9028	398.0	778.00
poi-30-2	1.0	1.33	12.0	2	190.0	1366	0.0	11.8986	439.0	1366.00
poi-30-2	1.0	1.33	12.0	3	95.0	785	0.0	15.5507	468.0	785.00
poi-30-2	1.0	1.33	12.0	3	190.0	1366	0.0	23.4511	929.0	1366.00
poi-30-2	1.0	0.67	25.0	2	190.0	1264	0.0	1787.2151	27899.0	1264.00
poi-30-2	1.0	1.0	25.0	2	95.0	832	0.0	951.6164	16162.0	832.00
poi-30-2	1.0	1.33	25.0	1	95.0	829	0.0	577.0637	16958.0	829.00
poi-30-2	1.0	1.33	25.0	2	95.0	1015	0.0	973.7552	14483.0	1015.00
poi-30-2	1.0	1.0	25.0	3	190.0	1410	0.0	1876.2621	16848.0	1410.00
poi-30-2	1.0	0.67	25.0	3	190.0	0	0.0031645569620251364	3707.6562	76107.0	1268.00
poi-30-2	2.0	0.67	12.0	1	95.0	654	0.0	19.5481	114.0	654.00
poi-30-2	2.0	0.67	12.0	1	190.0	1209	0.0	4.4895	31.0	1209.00
poi-30-2	2.0	0.67	12.0	2	95.0	654	0.0	4.3541	94.0	654.00
poi-30-2	2.0	0.67	12.0	2	190.0	1209	0.0	6.8287	1.0	1209.00
