poi-10-1	1.0	0.67	15.0	1	59.0	201.0	0.0	0.0020	0.0	201.0
poi-10-1	1.0	0.67	15.0	1	118.0	295.0	0.0	0.1069	44.0	295.0
poi-10-1	1.0	0.67	15.0	2	59.0	201.0	0.0	0.0024	0.0	201.0
poi-10-1	1.0	0.67	15.0	2	118.0	295.0	0.0	0.0700	70.0	295.0
poi-10-1	1.0	0.67	15.0	3	59.0	201.0	0.0	0.0025	1.0	201.0
poi-10-1	1.0	0.67	15.0	3	118.0	295.0	0.0	0.1435	33.0	295.0
poi-10-1	1.0	0.67	30.0	1	59.0	201.0	0.0	0.0034	1.0	201.0
poi-10-1	1.0	0.67	30.0	1	118.0	295.0	0.0	0.0949	130.0	295.0
poi-10-1	1.0	0.67	30.0	2	59.0	201.0	0.0	0.0038	1.0	201.0
poi-10-1	1.0	0.67	30.0	2	118.0	295.0	0.0	0.1367	90.0	295.0
poi-10-1	1.0	0.67	30.0	3	59.0	201.0	0.0	0.0047	1.0	201.0
poi-10-1	1.0	0.67	30.0	3	118.0	295.0	0.0	0.1381	124.0	295.0
poi-10-1	1.0	1.0	15.0	1	59.0	201.0	0.0	0.0020	0.0	201.0
poi-10-1	1.0	1.0	15.0	1	118.0	295.0	0.0	0.0707	111.0	295.0
poi-10-1	1.0	1.0	15.0	2	59.0	201.0	0.0	0.0022	0.0	201.0
poi-10-1	1.0	1.0	15.0	2	118.0	295.0	0.0	0.1452	140.0	295.0
poi-10-1	1.0	1.0	15.0	3	59.0	201.0	0.0	0.0025	1.0	201.0
poi-10-1	1.0	1.0	15.0	3	118.0	295.0	0.0	0.0863	119.0	295.0
poi-10-1	1.0	1.0	30.0	1	59.0	201.0	0.0	0.0033	1.0	201.0
poi-10-1	1.0	1.0	30.0	1	118.0	295.0	0.0	0.1164	288.0	295.0
poi-10-1	1.0	1.0	30.0	2	59.0	201.0	0.0	0.0036	1.0	201.0
poi-10-1	1.0	1.0	30.0	2	118.0	295.0	0.0	0.1758	207.0	295.0
poi-10-1	1.0	1.0	30.0	3	59.0	201.0	0.0	0.0044	1.0	201.0
poi-10-1	1.0	1.0	30.0	3	118.0	295.0	0.0	0.1932	358.0	295.0
poi-10-1	1.0	1.33	15.0	1	59.0	233.0	0.0	0.0020	0.0	233.0
poi-10-1	1.0	1.33	15.0	1	118.0	327.0	0.0	0.0641	63.0	327.0
poi-10-1	1.0	1.33	15.0	2	59.0	233.0	0.0	0.0022	0.0	233.0
poi-10-1	1.0	1.33	15.0	2	118.0	327.0	0.0	0.0853	210.0	327.0
poi-10-1	1.0	1.33	15.0	3	59.0	233.0	0.0	0.0026	1.0	233.0
poi-10-1	1.0	1.33	15.0	3	118.0	327.0	0.0	0.1164	66.0	327.0
poi-10-1	1.0	1.33	30.0	1	59.0	233.0	0.0	0.0036	1.0	233.0
poi-10-1	1.0	1.33	30.0	1	118.0	347.0	0.0	0.1084	246.0	347.0
poi-10-1	1.0	1.33	30.0	2	59.0	233.0	0.0	0.0037	1.0	233.0
poi-10-1	1.0	1.33	30.0	2	118.0	347.0	0.0	0.1294	242.0	347.0
poi-10-1	1.0	1.33	30.0	3	59.0	233.0	0.0	0.0047	1.0	233.0
poi-10-1	1.0	1.33	30.0	3	118.0	347.0	0.0	0.2358	210.0	347.0
poi-10-1	2.0	0.67	15.0	1	59.0	201.0	0.0	0.0020	0.0	201.0
poi-10-1	2.0	0.67	15.0	1	118.0	295.0	0.0	0.0965	49.0	295.0
poi-10-1	2.0	0.67	15.0	2	59.0	201.0	0.0	0.0025	0.0	201.0
poi-10-1	2.0	0.67	15.0	2	118.0	295.0	0.0	0.1110	118.0	295.0
poi-10-1	2.0	0.67	15.0	3	59.0	201.0	0.0	0.0026	1.0	201.0
poi-10-1	2.0	0.67	15.0	3	118.0	295.0	0.0	0.1232	58.0	295.0
poi-10-1	2.0	0.67	30.0	1	59.0	201.0	0.0	0.0032	1.0	201.0
poi-10-1	2.0	0.67	30.0	1	118.0	295.0	0.0	0.1126	122.0	295.0
poi-10-1	2.0	0.67	30.0	2	59.0	201.0	0.0	0.0040	1.0	201.0
poi-10-1	2.0	0.67	30.0	2	118.0	295.0	0.0	0.1195	193.0	295.0
poi-10-1	2.0	0.67	30.0	3	59.0	201.0	0.0	0.0046	1.0	201.0
