name	alpha	beta	L	m	T	OBJ	GAP	CPU	Nodes	obj_bound
poi-10-1	2.0	1.33	30.0	3	118.0	347	0.0	0.2599	37.0	347.00
poi-10-2	1.0	0.67	13.0	1	58.0	76	0.0	0.0025	0.0	76.00
poi-10-2	1.0	0.67	13.0	1	116.0	296	0.0	0.0498	1.0	296.00
poi-10-2	1.0	0.67	13.0	2	58.0	76	0.0	0.0017	0.0	76.00
poi-10-2	1.0	0.67	13.0	2	116.0	296	0.0	0.0467	1.0	296.00
poi-10-2	1.0	0.67	13.0	3	58.0	76	0.0	0.0016	0.0	76.00
poi-10-2	1.0	0.67	13.0	3	116.0	296	0.0	0.0277	1.0	296.00
poi-10-2	1.0	0.67	27.0	1	58.0	76	0.0	0.0021	0.0	76.00
poi-10-2	1.0	0.67	27.0	1	116.0	296	0.0	0.3643	1.0	296.00
poi-10-2	1.0	0.67	27.0	2	58.0	76	0.0	0.0046	0.0	76.00
poi-10-2	1.0	0.67	27.0	2	116.0	296	0.0	0.1251	14.0	296.00
poi-10-2	1.0	0.67	27.0	3	58.0	76	0.0	0.0064	0.0	76.00
poi-10-2	1.0	0.67	27.0	3	116.0	296	0.0	0.8006	7.0	296.00
poi-10-2	1.0	1.0	13.0	1	58.0	76	0.0	0.0017	0.0	76.00
poi-10-2	1.0	1.0	13.0	1	116.0	296	0.0	0.0476	1.0	296.00
poi-10-2	1.0	1.0	13.0	2	58.0	76	0.0	0.0030	0.0	76.00
poi-10-2	1.0	1.0	13.0	2	116.0	296	0.0	0.0651	1.0	296.00
poi-10-2	1.0	1.0	13.0	3	58.0	76	0.0	0.0028	0.0	76.00
poi-10-2	1.0	1.0	13.0	3	116.0	296	0.0	0.0869	1.0	296.00
poi-10-2	1.0	1.0	27.0	1	58.0	76	0.0	0.0037	0.0	76.00
poi-10-2	1.0	1.0	27.0	1	116.0	296	0.0	0.1550	49.0	296.00
poi-10-2	1.0	1.0	27.0	2	58.0	76	0.0	0.0030	0.0	76.00
poi-10-2	1.0	1.0	27.0	2	116.0	296	0.0	0.3444	116.0	296.00
poi-10-2	1.0	1.0	27.0	3	58.0	76	0.0	0.0063	0.0	76.00
poi-10-2	1.0	1.0	27.0	3	116.0	296	0.0	0.3209	54.0	296.00
poi-10-2	1.0	1.33	13.0	1	58.0	76	0.0	0.0017	0.0	76.00
poi-10-2	1.0	1.33	13.0	1	116.0	313	0.0	0.0637	12.0	313.00
poi-10-2	1.0	1.33	13.0	2	58.0	76	0.0	0.0031	0.0	76.00
poi-10-2	1.0	1.33	13.0	2	116.0	313	0.0	0.1021	12.0	313.00
