InstanceName	alpha	beta	L	m	Tmax	ObjValue	CpuTime	IterToBest	TimeToBest
poi-10-1	1	0.67	15	1	59	201	0.0241388	0	0
poi-10-1	1	0.67	15	1	118	295	0.0415622	0	0
poi-10-1	1	0.67	15	2	59	201	0.0245568	0	0
poi-10-1	1	0.67	15	2	118	295	0.0425212	0	0
poi-10-1	1	0.67	15	3	59	201	0.0254109	0	0
poi-10-1	1	0.67	15	3	118	295	0.0434234	0	0
poi-10-1	1	0.67	30	1	59	201	0.0263784	0	0
poi-10-1	1	0.67	30	1	118	295	0.0550885	0	0
poi-10-1	1	0.67	30	2	59	201	0.0274917	0	0
poi-10-1	1	0.67	30	2	118	295	0.057834	0	0
poi-10-1	1	0.67	30	3	59	201	0.0282251	0	0
poi-10-1	1	0.67	30	3	118	295	0.0610012	0	0
poi-10-1	1	1	15	1	59	201	0.0335018	0	0
poi-10-1	1	1	15	1	118	295	0.0712223	0	0
poi-10-1	1	1	15	2	59	201	0.0353781	0	0
poi-10-1	1	1	15	2	118	295	0.0734167	0	0
poi-10-1	1	1	15	3	59	201	0.0367809	0	0
poi-10-1	1	1	15	3	118	295	0.0749906	0	0
poi-10-1	1	1	30	1	59	201	0.0372732	0	0
poi-10-1	1	1	30	1	118	295	0.0740218	0	0
poi-10-1	1	1	30	2	59	201	0.0410427	0	0
poi-10-1	1	1	30	2	118	295	0.0809504	0	0
poi-10-1	1	1	30	3	59	201	0.0452917	0	0
poi-10-1	1	1	30	3	118	295	0.0871492	0	0
poi-10-1	1	1.33	15	1	59	233	0.0318978	0	0
poi-10-1	1	1.33	15	1	118	327	0.0664302	0	0
poi-10-1	1	1.33	15	2	59	233	0.0330955	0	0
poi-10-1	1	1.33	15	2	118	327	0.0683383	0	0
poi-10-1	1	1.33	15	3	59	233	0.0345678	0	0
poi-10-1	1	1.33	15	3	118	327	0.0698425	0	0
poi-10-1	1	1.33	30	1	59	233	0.0365863	0	0
poi-10-1	1	1.33	30	1	118	347	0.0685145	18	0.0002396
poi-10-1	1	1.33	30	2	59	233	0.0403645	0	0
poi-10-1	1	1.33	30	2	118	347	0.073968	2	3.25E-05
poi-10-1	1	1.33	30	3	59	233	0.0440762	0	0
poi-10-1	1	1.33	30	3	118	347	0.0795381	5	8.29E-05
poi-10-1	2	0.67	15	1	59	201	0.0241365	0	0
poi-10-1	2	0.67	15	1	118	295	0.0419327	0	0
poi-10-1	2	0.67	15	2	59	201	0.0249308	0	0
poi-10-1	2	0.67	15	2	118	295	0.042766	0	0
poi-10-1	2	0.67	15	3	59	201	0.0254601	0	0
poi-10-1	2	0.67	15	3	118	295	0.043703	0	0
poi-10-1	2	0.67	30	1	59	201	0.0263096	0	0
poi-10-1	2	0.67	30	1	118	295	0.0550038	0	0
poi-10-1	2	0.67	30	2	59	201	0.0273047	0	0
poi-10-1	2	0.67	30	2	118	295	0.0575711	0	0
poi-10-1	2	0.67	30	3	59	201	0.0278796	0	0
poi-10-1	2	0.67	30	3	118	295	0.0604902	0	0
poi-10-1	2	1	15	1	59	201	0.0317016	0	0
poi-10-1	2	1	15	1	118	295	0.0712615	0	0
poi-10-1	2	1	15	2	59	201	0.0335296	0	0
poi-10-1	2	1	15	2	118	295	0.0731305	0	0
poi-10-1	2	1	15	3	59	201	0.0349392	0	0
poi-10-1	2	1	15	3	118	295	0.074642	0	0
poi-10-1	2	1	30	1	59	201	0.0371948	0	0
poi-10-1	2	1	30	1	118	295	0.0735407	0	0
poi-10-1	2	1	30	2	59	201	0.0405703	0	0
