InstanceName	alpha	beta	L	m	Tmax	ObjValue	CpuTime	IterToBest	TimeToBest
poi-10-1	1	0.67	15	1	59	201	0.0231041	0	0
poi-10-1	1	0.67	15	1	118	295	0.0396257	0	0
poi-10-1	1	0.67	15	2	59	201	0.0235774	0	0
poi-10-1	1	0.67	15	2	118	295	0.0407797	0	0
poi-10-1	1	0.67	15	3	59	201	0.0243532	0	0
poi-10-1	1	0.67	15	3	118	295	0.0415418	0	0
poi-10-1	1	0.67	30	1	59	201	0.0250329	0	0
poi-10-1	1	0.67	30	1	118	295	0.0523533	0	0
poi-10-1	1	0.67	30	2	59	201	0.0258205	0	0
poi-10-1	1	0.67	30	2	118	295	0.0549625	0	0
poi-10-1	1	0.67	30	3	59	201	0.0270778	0	0
poi-10-1	1	0.67	30	3	118	295	0.0580896	0	0
poi-10-1	1	1	15	1	59	201	0.0314685	0	0
poi-10-1	1	1	15	1	118	295	0.0671408	0	0
poi-10-1	1	1	15	2	59	201	0.0330387	0	0
poi-10-1	1	1	15	2	118	295	0.0685991	0	0
poi-10-1	1	1	15	3	59	201	0.0346565	0	0
poi-10-1	1	1	15	3	118	295	0.070367	0	0
poi-10-1	1	1	30	1	59	201	0.0354494	0	0
poi-10-1	1	1	30	1	118	295	0.0695005	0	0
poi-10-1	1	1	30	2	59	201	0.0392062	0	0
poi-10-1	1	1	30	2	118	295	0.0759121	0	0
poi-10-1	1	1	30	3	59	201	0.0423559	0	0
poi-10-1	1	1	30	3	118	295	0.0817236	0	0
poi-10-1	1	1.33	15	1	59	233	0.0300693	0	0
poi-10-1	1	1.33	15	1	118	327	0.0627061	0	0
poi-10-1	1	1.33	15	2	59	233	0.0315203	0	0
poi-10-1	1	1.33	15	2	118	327	0.0642049	0	0
poi-10-1	1	1.33	15	3	59	233	0.0326063	0	0
poi-10-1	1	1.33	15	3	118	327	0.0656028	0	0
poi-10-1	1	1.33	30	1	59	233	0.0347698	0	0
poi-10-1	1	1.33	30	1	118	347	0.0644025	4	6.13E-05
poi-10-1	1	1.33	30	2	59	233	0.0381519	0	0
poi-10-1	1	1.33	30	2	118	347	0.0690659	2	3.24E-05
poi-10-1	1	1.33	30	3	59	233	0.041658	0	0
poi-10-1	1	1.33	30	3	118	347	0.074196	1	1.66E-05
poi-10-1	2	0.67	15	1	59	201	0.0229821	0	0
poi-10-1	2	0.67	15	1	118	295	0.0396689	0	0
poi-10-1	2	0.67	15	2	59	201	0.0238277	0	0
poi-10-1	2	0.67	15	2	118	295	0.0403162	0	0
poi-10-1	2	0.67	15	3	59	201	0.0241129	0	0
poi-10-1	2	0.67	15	3	118	295	0.0415309	0	0
poi-10-1	2	0.67	30	1	59	201	0.02514	0	0
poi-10-1	2	0.67	30	1	118	295	0.0521727	0	0
poi-10-1	2	0.67	30	2	59	201	0.0259747	0	0
poi-10-1	2	0.67	30	2	118	295	0.054877	0	0
poi-10-1	2	0.67	30	3	59	201	0.0269689	0	0
poi-10-1	2	0.67	30	3	118	295	0.0576795	0	0
poi-10-1	2	1	15	1	59	201	0.0307285	0	0
poi-10-1	2	1	15	1	118	295	0.0667533	0	0
poi-10-1	2	1	15	2	59	201	0.0317429	0	0
poi-10-1	2	1	15	2	118	295	0.0684729	0	0
poi-10-1	2	1	15	3	59	201	0.0331304	0	0
poi-10-1	2	1	15	3	118	295	0.0701963	0	0
poi-10-1	2	1	30	1	59	201	0.0352548	0	0
poi-10-1	2	1	30	1	118	295	0.0692938	0	0
poi-10-1	2	1	30	2	59	201	0.0390209	0	0
poi-10-1	2	1	30	2	118	295	0.0759193	0	0
poi-10-1	2	1	30	3	59	201	0.0420837	0	0
poi-10-1	2	1	30	3	118	295	0.0815541	0	0
poi-10-1	2	1.33	15	1	59	233	0.0300482	0	0
poi-10-1	2	1.33	15	1	118	327	0.0623946	0	0
poi-10-1	2	1.33	15	2	59	233	0.0313446	0	0
poi-10-1	2	1.33	15	2	118	327	0.0639175	0	0
poi-10-1	2	1.33	15	3	59	233	0.0326821	0	0
poi-10-1	2	1.33	15	3	118	327	0.0656196	0	0
poi-10-1	2	1.33	30	1	59	233	0.0348015	0	0
poi-10-1	2	1.33	30	1	118	347	0.0644222	7	0.0001625
poi-10-1	2	1.33	30	2	59	233	0.0381066	0	0
poi-10-1	2	1.33	30	2	118	347	0.069154	2	3.16E-05
poi-10-1	2	1.33	30	3	59	233	0.0413482	0	0
poi-10-1	2	1.33	30	3	118	347	0.0742858	5	8.02E-05
poi-10-2	1	0.67	13	1	58	76	0.0223063	0	0
poi-10-2	1	0.67	13	1	116	296	0.0355243	14	0.0001051
poi-10-2	1	0.67	13	2	58	76	0.0229063	0	0
poi-10-2	1	0.67	13	2	116	296	0.0360132	10	7.29E-05
poi-10-2	1	0.67	13	3	58	76	0.0234179	0	0
poi-10-2	1	0.67	13	3	116	296	0.0366662	9	0.000127
poi-10-2	1	0.67	27	1	58	76	0.0269511	0	0
poi-10-2	1	0.67	27	1	116	296	0.046609	12	0.0001222
poi-10-2	1	0.67	27	2	58	76	0.0282482	0	0
poi-10-2	1	0.67	27	2	116	296	0.0486528	11	0.0001356
poi-10-2	1	0.67	27	3	58	76	0.0293036	0	0
poi-10-2	1	0.67	27	3	116	296	0.050733	12	0.0001464
poi-10-2	1	1	13	1	58	76	0.0224303	0	0
poi-10-2	1	1	13	1	116	296	0.0596534	12	0.0001416
poi-10-2	1	1	13	2	58	76	0.0227684	0	0
poi-10-2	1	1	13	2	116	296	0.0606521	4	5.6E-05
poi-10-2	1	1	13	3	58	76	0.0235493	0	0
poi-10-2	1	1	13	3	116	296	0.0618304	9	0.0001178
poi-10-2	1	1	27	1	58	76	0.0271105	0	0
poi-10-2	1	1	27	1	116	296	0.0709364	18	0.0002562
poi-10-2	1	1	27	2	58	76	0.0282365	0	0
poi-10-2	1	1	27	2	116	296	0.0785178	1	2.23E-05
poi-10-2	1	1	27	3	58	76	0.0290838	0	0
poi-10-2	1	1	27	3	116	296	0.083291	1	2.37E-05
poi-10-2	1	1.33	13	1	58	76	0.0222086	0	0
poi-10-2	1	1.33	13	1	116	313	0.0596995	2	8.9E-05
poi-10-2	1	1.33	13	2	58	76	0.0229076	0	0
poi-10-2	1	1.33	13	2	116	313	0.0606264	11	0.000133
poi-10-2	1	1.33	13	3	58	76	0.0233481	0	0
poi-10-2	1	1.33	13	3	116	313	0.061821	5	6.67E-05
poi-10-2	1	1.33	27	1	58	76	0.0269986	0	0
poi-10-2	1	1.33	27	1	116	343	0.0710508	10	0.0002202
poi-10-2	1	1.33	27	2	58	76	0.0280621	0	0
poi-10-2	1	1.33	27	2	116	345	0.0803613	5	9.63E-05
poi-10-2	1	1.33	27	3	58	76	0.0290988	0	0
poi-10-2	1	1.33	27	3	116	345	0.0848923	6	0.0001144
poi-10-2	2	0.67	13	1	58	76	0.0222729	0	0
poi-10-2	2	0.67	13	1	116	296	0.0352234	2	1.58E-05
poi-10-2	2	0.67	13	2	58	76	0.0228604	0	0
poi-10-2	2	0.67	13	2	116	296	0.0358379	5	3.66E-05
poi-10-2	2	0.67	13	3	58	76	0.0232665	0	0
poi-10-2	2	0.67	13	3	116	296	0.0364092	2	1.55E-05
poi-10-2	2	0.67	27	1	58	76	0.0270167	0	0
poi-10-2	2	0.67	27	1	116	296	0.0467197	15	0.000157
poi-10-2	2	0.67	27	2	58	76	0.0280072	0	0
poi-10-2	2	0.67	27	2	116	296	0.0491164	2	3.06E-05
poi-10-2	2	0.67	27	3	58	76	0.0291063	0	0
poi-10-2	2	0.67	27	3	116	296	0.0508596	16	0.000177
poi-10-2	2	1	13	1	58	76	0.0223563	0	0
poi-10-2	2	1	13	1	116	296	0.0594549	8	9.9E-05
poi-10-2	2	1	13	2	58	76	0.0228978	0	0
poi-10-2	2	1	13	2	116	296	0.0604208	11	0.0001361
poi-10-2	2	1	13	3	58	76	0.023462	0	0
poi-10-2	2	1	13	3	116	296	0.0616643	15	0.0002537
poi-10-2	2	1	27	1	58	76	0.0270497	0	0
poi-10-2	2	1	27	1	116	296	0.066295	8	0.0001125
poi-10-2	2	1	27	2	58	76	0.0279187	0	0
poi-10-2	2	1	27	2	116	296	0.0732737	1	2.02E-05
poi-10-2	2	1	27	3	58	76	0.0290263	0	0
poi-10-2	2	1	27	3	116	296	0.0775859	12	0.0002464
poi-10-2	2	1.33	13	1	58	76	0.0223007	0	0
poi-10-2	2	1.33	13	1	116	313	0.0594989	3	9.59E-05
poi-10-2	2	1.33	13	2	58	76	0.0228348	0	0
poi-10-2	2	1.33	13	2	116	313	0.060672	6	7.73E-05
poi-10-2	2	1.33	13	3	58	76	0.0235538	0	0
poi-10-2	2	1.33	13	3	116	313	0.0619506	17	0.0002742
poi-10-2	2	1.33	27	1	58	76	0.0270055	0	0
poi-10-2	2	1.33	27	1	116	355	0.069856	7	0.0001098
poi-10-2	2	1.33	27	2	58	76	0.027898	0	0
poi-10-2	2	1.33	27	2	116	355	0.0786	3	5.47E-05
poi-10-2	2	1.33	27	3	58	76	0.0292786	0	0
poi-10-2	2	1.33	27	3	116	355	0.0819287	11	0.0001917
poi-10-3	1	0.67	14	1	59	0	0.0213771	0	0
poi-10-3	1	0.67	14	1	119	243	0.0400993	0	0
poi-10-3	1	0.67	14	2	59	0	0.0220433	0	0
poi-10-3	1	0.67	14	2	119	243	0.042513	0	0
poi-10-3	1	0.67	14	3	59	0	0.0228823	0	0
poi-10-3	1	0.67	14	3	119	243	0.0439205	0	0
poi-10-3	1	0.67	28	1	59	0	0.0220316	0	0
poi-10-3	1	0.67	28	1	119	243	0.0489291	0	0
poi-10-3	1	0.67	28	2	59	0	0.022836	0	0
poi-10-3	1	0.67	28	2	119	243	0.0582387	0	0
poi-10-3	1	0.67	28	3	59	0	0.02383	0	0
poi-10-3	1	0.67	28	3	119	243	0.0638481	0	0
poi-10-3	1	1	14	1	59	0	0.0213259	0	0
poi-10-3	1	1	14	1	119	243	0.0638187	0	0
poi-10-3	1	1	14	2	59	0	0.0219801	0	0
