name,alpha,beta,L,m,T,OBJ,GAP,CPU,nodes,obj_bound,root_time,root_obj,root_bound,frac_time,frac_calls,int_time,int_calls,total_cuts,frac_conn,conn,noverlap,0noverlap,proper_noverlap,depot_flyover,synchro,compl_time,y(N),z(H),w(N),LP_time,LP_obj
poi-40-2,2,0.67,24,2,194,1744,0,35.644,3869,1744,802.431,1640,1765,0.315617,2436,197.981,107,2432,430,233,1476,23,0,245,25,194,23,16/4074,2,93.615,1774
poi-40-2,2,0.67,24,3,97,1047,0,464.4,3786,1047,770.154,914,1268,0.607603,2884,101.506,136,2891,1729,563,451,26,0,103,19,97,9,19/4074,0,185.908,1377
poi-40-2,2,0.67,24,3,194,1744,0,909.613,36664,1744,134.311,1599,1767,365.279,24125,400.473,221,5844,2620,248,2316,24,0,582,54,194,23,16/4074,2,93.886,1774
poi-40-2,2,1,12,1,97,946,0,461.149,1364,946,154.911,373,1123,0.087421,724,0.138906,37,755,540,157,48,1,0,9,0,97,12,8/420,1,228.425,1144
poi-40-2,2,1,12,1,194,1736,0,316.638,127,1736,269.751,1736,1761,0.014719,107,0.104726,13,142,0,57,77,0,0,8,0,191,23,12/420,3,2.595,1763
poi-40-2,2,1,12,2,97,953,0,803.915,2198,953,304.309,850,1103,0.187106,1305,0.171372,28,1546,1433,67,38,1,0,7,0,94,11,8/420,1,200.656,1176
poi-40-2,2,1,12,2,194,1736,0,23.073,89,1736,188.626,1736,1767,0.010277,73,0.100207,15,83,13,33,30,0,0,7,0,186,23,12/420,1,169.485,1776
poi-40-2,2,1,12,3,97,953,0,671.949,1050,953,451.345,946,1110,0.093249,635,0.103638,13,445,401,32,8,1,0,3,0,95,12,7/420,2,331.691,1176
poi-40-2,2,1,12,3,194,1736,0,385.228,208,1736,272.463,1665,1770,0.020123,140,0.306063,33,222,33,49,109,0,0,31,0,193,23,12/420,1,268.983,1776
poi-40-2,2,1,24,1,97,1140,0,235.175,9397,1140,620.913,1006,1469,0.671173,5846,0.230831,78,2119,1613,401,86,1,0,10,8,97,12,11/4074,2,715.197,1617
poi-40-2,2,1,24,1,194,1950,0,912.437,13523,1950,133.527,211,1950,20.739,10226,0.655875,46,8609,7782,135,621,1,0,41,29,194,22,18/4074,9,228.968,1950
poi-40-2,2,1,24,2,97,1365,0,1191.79,3716,1365,292.168,1098,1648,0.539934,2854,0.505207,88,2504,1837,374,238,10,0,33,12,97,9,17/4074,0,196.222,1638
poi-40-2,2,1,24,2,194,1950,0,658.753,3110,1950,349.829,541,1950,103.944,2953,0.681322,40,6306,5229,203,777,4,0,82,11,194,18,22/4074,2,309.482,1950
poi-40-2,2,1,24,3,97,1412,0,805.121,2806,1412,228.765,1170,1659,0.702215,2097,0.351102,80,3175,2543,448,151,4,0,20,9,96,8,21/4074,0,138.653,1648
poi-40-2,2,1,24,3,194,1950,0,1885.47,8028,1950,242.552,572,1950,875.461,7338,0.768316,58,45331,44236,297,679,7,0,99,13,187,14,26/4074,11,467.538,1950
poi-40-2,2,1.34,12,1,97,1146,0,39.949,761,1146,212.644,1140,1309,0.062155,421,0.085185,10,378,336,18,24,0,0,0,0,94,12,8/420,1,331.442,1320
poi-40-2,2,1.34,12,1,194,2009,0,512.446,613,2009,372.869,2003,2040,0.050732,367,0.119302,13,89,12,16,57,0,0,4,0,194,20,14/420,0,451.378,2011
poi-40-2,2,1.34,12,2,97,1183,0,60.674,1089,1183,234.536,651,1338,0.08105,589,0.163982,46,926,714,167,39,1,0,5,0,93,10,10/420,0,0.649649,1437
poi-40-2,2,1.34,12,2,194,2053,0,368.392,774,2053,135.245,537,2083,0.054564,489,0.360316,40,481,203,61,195,2,0,20,0,193,19,16/420,1,36.355,2083
poi-40-2,2,1.34,12,3,97,1197,0,524.195,519,1197,25.879,215,1336,0.065006,319,0.134975,32,660,518,106,28,1,0,7,0,94,9,11/420,0,142.184,1437
poi-40-2,2,1.34,12,3,194,2067,0,398.188,240,2067,183.744,2006,2083,0.054484,202,0.18843,33,633,450,101,70,0,0,12,0,194,18,17/420,1,251.196,2083
poi-40-2,2,1.34,24,1,97,1407,0,156.1,3784,1407,236.434,166,1781,0.484816,2685,0.217906,52,3017,2707,216,77,0,0,11,6,97,12,11/4074,3,137.719,1896
poi-40-2,2,1.34,24,1,194,2349,0,307.622,5394,2349,232.597,2169,2393,0.765472,3695,0.304676,44,3592,3061,274,227,1,0,19,10,194,19,19/4074,6,176.559,2396
poi-40-2,2,1.34,24,2,97,1706,0,1411.11,4210,1706,633.983,166,2124,0.887358,2904,0.334957,68,4783,4282,307,157,4,0,23,10,97,9,17/4074,0,321.142,2023
poi-40-2,2,1.34,24,2,194,2475,0,1003.13,6438,2475,340.356,2307,2493,0.806379,5000,0.406828,44,2749,2242,158,322,1,0,18,8,193,14,26/4074,2,720.557,2484
poi-40-2,2,1.34,24,3,97,1805,0,1238.18,3322,1805,403.908,1607,2135,0.501694,2470,0.788549,109,2611,1625,387,480,25,0,78,16,97,8,21/4074,0,375.857,2045
poi-40-2,2,1.34,24,3,194,2507,0,734.908,2332,2507,103.615,2368,2511,0.421111,2080,0.417972,46,2189,1591,166,379,1,0,45,7,194,11,29/4074,5,459.415,2507
poi-40-3,1,0.67,13,1,97,684,0,259.472,796,684,0.749819,290,844,0.072471,443,0.172231,29,779,694,55,16,0,0,8,6,97,10,2/300,4,0.299254,944
