name,alpha,beta,L,m,T,OBJ,GAP,CPU,nodes,obj_bound,root_time,root_obj,root_bound,frac_time,frac_calls,int_time,int_calls,total_cuts,frac_conn,conn,noverlap,0noverlap,proper_noverlap,depot_flyover,synchro,compl_time,y(N),z(H),w(N),LP_time,LP_obj
poi-10-4,1,1,32,1,59,215,0,0.017276,0,215,0.0122342,215,887,0,0,0.000593,3,1,0,0,0,0,0,0,1,51,3,1/92,0,0.0109138,231
poi-10-4,1,1,32,1,118,358,0,0.166018,43,358,0.12946,358,396,0.001237,38,0.000808,7,12,5,4,0,1,0,0,2,113,6,1/92,0,0.020941,434
poi-10-4,1,1,32,2,59,231,0,0.019054,0,231,0.014811,231,935,0,0,0.000288,2,0,0,0,0,0,0,0,0,51,3,2/92,0,0.013303,231
poi-10-4,1,1,32,2,118,358,0,0.240327,69,358,0.214366,324,404,0.001824,57,0.00083,6,12,5,4,0,0,0,0,3,114,5,2/92,0,0.0383201,434
poi-10-4,1,1,32,3,59,231,0,0.024937,0,231,0.019908,231,935,0,0,0.000252,2,0,0,0,0,0,0,0,0,51,3,2/92,0,0.023464,231
poi-10-4,1,1,32,3,118,358,0,0.249449,50,358,0.222547,358,411,0.00119,39,0.001087,8,12,5,4,0,0,0,0,3,113,6,1/92,0,0.0469031,434
poi-10-4,1,1.33,6,1,59,163,0,0.007178,0,163,0.00350189,163,341,0,0,0.000403,3,3,0,3,0,0,0,0,0,51,3,0/0,0,0.00336719,201
poi-10-4,1,1.33,6,1,118,324,0,0.056159,1,324,0.0530701,324,346,0.000597,18,0.000434,5,13,3,10,0,0,0,0,0,111,6,0/0,0,0.00413799,434
poi-10-4,1,1.33,6,2,59,163,0,0.005569,0,163,0.00279093,163,341,0,0,0.000308,3,3,0,3,0,0,0,0,0,51,3,0/0,0,0.0021379,201
poi-10-4,1,1.33,6,2,118,324,0,0.056489,1,324,0.053206,324,346,0.000579,18,0.000423,5,13,3,10,0,0,0,0,0,111,6,0/0,0,0.00410604,434
poi-10-4,1,1.33,6,3,59,163,0,0.005639,0,163,0.00270295,163,341,0,0,0.000325,3,3,0,3,0,0,0,0,0,51,3,0/0,0,0.00210309,201
poi-10-4,1,1.33,6,3,118,324,0,0.057228,1,324,0.0537,324,346,0.000586,18,0.000449,5,13,3,10,0,0,0,0,0,111,6,0/0,0,0.00414395,434
poi-10-4,1,1.33,19,1,59,167,0,0.006529,0,167,0.00373697,167,717,0,0,0.000208,2,0,0,0,0,0,0,0,0,52,3,1/18,0,0.00320601,167
poi-10-4,1,1.33,19,1,118,399,0,0.054788,1,399,0.0505779,399,410,0.000437,11,0.000359,4,4,4,0,0,0,0,0,0,113,5,2/18,0,0.061497,399
poi-10-4,1,1.33,19,2,59,167,0,0.007166,0,167,0.00416279,167,717,0,0,0.000233,2,0,0,0,0,0,0,0,0,52,3,1/18,0,0.00388503,167
poi-10-4,1,1.33,19,2,118,399,0,0.074144,1,399,0.0629702,399,412,0.000372,8,0.000509,5,7,4,3,0,0,0,0,0,113,5,2/18,0,0.164508,399
poi-10-4,1,1.33,19,3,59,167,0,0.008008,0,167,0.00444198,167,717,0,0,0.000234,2,0,0,0,0,0,0,0,0,52,3,1/18,0,0.00464797,167
poi-10-4,1,1.33,19,3,118,399,0,0.057711,1,399,0.049454,399,410,0.000315,7,0.000621,5,7,4,3,0,0,0,0,0,113,5,2/18,0,0.143339,399
poi-10-4,1,1.33,32,1,59,232,0,0.012652,1,232,0.0092752,232,243,1.5E-05,1,0.000467,4,1,0,0,0,0,0,0,1,51,3,1/92,0,0.00713301,253
poi-10-4,1,1.33,32,1,118,417,0,0.199274,55,417,0.14647,378,465,0.001809,55,0.001789,18,16,4,7,1,2,0,0,2,115,4,3/92,8,0.141406,456
poi-10-4,1,1.33,32,2,59,253,0,0.018701,0,253,0.0145612,253,1161,0,0,0.000255,2,0,0,0,0,0,0,0,0,51,3,2/92,0,0.013684,253
poi-10-4,1,1.33,32,2,118,417,0,0.232767,37,417,0.207523,404,468,0.001547,42,0.001225,9,9,5,3,0,0,0,0,1,110,4,3/92,3,0.210002,456
poi-10-4,1,1.33,32,3,59,253,0,0.02566,0,253,0.020628,253,1161,0,0,0.000263,2,0,0,0,0,0,0,0,0,51,3,2/92,0,0.0199401,253
poi-10-4,1,1.33,32,3,118,417,0,0.232805,56,417,0.194575,378,475,0.00136,41,0.001395,10,12,9,0,0,1,0,0,2,110,4,3/92,3,0.271004,456
poi-10-4,2,0.67,6,1,59,163,0,0.004985,0,163,0.00243497,163,341,0,0,0.000255,3,3,0,3,0,0,0,0,0,51,3,0/0,0,0.00179195,201
poi-10-4,2,0.67,6,1,118,324,0,0.056735,1,324,0.053791,324,346,0.000651,18,0.000401,5,13,3,10,0,0,0,0,0,111,6,0/0,0,0.00421882,434
poi-10-4,2,0.67,6,2,59,163,0,0.005545,0,163,0.00288105,163,341,0,0,0.000298,3,3,0,3,0,0,0,0,0,51,3,0/0,0,0.00232387,201
poi-10-4,2,0.67,6,2,118,324,0,0.057812,1,324,0.0547051,324,346,0.000593,18,0.000419,5,13,3,10,0,0,0,0,0,111,6,0/0,0,0.00411987,434
poi-10-4,2,0.67,6,3,59,163,0,0.008574,0,163,0.00408697,163,341,0,0,0.000536,3,3,0,3,0,0,0,0,0,51,3,0/0,0,0.00323105,201
poi-10-4,2,0.67,6,3,118,324,0,0.057779,1,324,0.05425,324,346,0.000591,18,0.000459,5,13,3,10,0,0,0,0,0,111,6,0/0,0,0.00410795,434
poi-10-4,2,0.67,19,1,59,163,0,0.006327,1,163,0.00369096,163,176,2.1E-05,1,0.000278,2,0,0,0,0,0,0,0,0,51,3,0/18,0,0.00324082,163
poi-10-4,2,0.67,19,1,118,340,0,0.101134,1,340,0.092895,340,348,0.000802,23,0.000616,7,10,0,10,0,0,0,0,0,114,6,1/18,1,0.0476379,366
poi-10-4,2,0.67,19,2,59,163,0,0.007689,1,163,0.00464582,163,176,2.1E-05,1,0.00024,2,0,0,0,0,0,0,0,0,51,3,0/18,0,0.00420308,163
