name,alpha,beta,L,m,T,OBJ,GAP,CPU,nodes,obj_bound,root_time,root_obj,root_bound,frac_time,frac_calls,int_time,int_calls,total_cuts,frac_conn,conn,noverlap,0noverlap,proper_noverlap,depot_flyover,synchro,compl_time,y(N),z(H),w(N),LP_time,LP_obj
poi-7-1,2,0.67,16,3,115,191,0,0.0045,0,191,0.00229692,191,209,0,0,0.000109,2,0,0,0,0,0,0,0,0,101,4,0/0,0,0.00194097,191
poi-7-1,2,0.67,32,1,75,135,0,0.003008,0,135,0.000209093,135,1.00E+100,0,0,4.50E-05,1,0,0,0,0,0,0,0,0,69,3,0/8,0,0.000680923,135
poi-7-1,2,0.67,32,1,115,191,0,0.005535,0,191,0.00328994,191,209,0,0,9.90E-05,2,0,0,0,0,0,0,0,0,101,4,0/8,0,0.00262308,191
poi-7-1,2,0.67,32,2,75,135,0,0.004818,0,135,0.000339985,135,1.00E+100,0,0,7.80E-05,1,0,0,0,0,0,0,0,0,69,3,0/8,0,0.00109696,135
poi-7-1,2,0.67,32,2,115,191,0,0.006096,0,191,0.00310206,191,209,0,0,0.000104,2,0,0,0,0,0,0,0,0,101,4,0/8,0,0.00264001,191
poi-7-1,2,0.67,32,3,75,135,0,0.005293,0,135,0.00037694,135,1.00E+100,0,0,8.30E-05,1,0,0,0,0,0,0,0,0,69,3,0/8,0,0.001333,135
poi-7-1,2,0.67,32,3,115,191,0,0.008767,0,191,0.00493598,191,209,0,0,0.000182,2,0,0,0,0,0,0,0,0,101,4,0/8,0,0.00373483,191
poi-7-1,2,1.33,16,1,75,135,0,0.002809,0,135,0.000727177,135,1.00E+100,0,0,3.50E-05,1,0,0,0,0,0,0,0,0,69,3,0/0,0,0.000537872,135
poi-7-1,2,1.33,16,1,115,191,0,0.006088,0,191,0.0031991,191,209,0,0,0.000137,2,0,0,0,0,0,0,0,0,101,4,0/0,0,0.00218987,191
poi-7-1,2,1.33,16,2,75,135,0,0.003019,0,135,0.000791073,135,1.00E+100,0,0,5.40E-05,1,0,0,0,0,0,0,0,0,69,3,0/0,0,0.000542879,135
poi-7-1,2,1.33,16,2,115,191,0,0.004311,0,191,0.00220609,191,209,0,0,9.70E-05,2,0,0,0,0,0,0,0,0,101,4,0/0,0,0.00194311,191
poi-7-1,2,1.33,16,3,75,135,0,0.003979,0,135,0.00117779,135,1.00E+100,0,0,7.50E-05,1,0,0,0,0,0,0,0,0,69,3,0/0,0,0.000913858,135
poi-7-1,2,1.33,16,3,115,191,0,0.005431,0,191,0.00266194,191,209,0,0,0.000117,2,0,0,0,0,0,0,0,0,101,4,0/0,0,0.00227594,191
poi-7-1,2,1.33,32,1,75,135,0,0.004363,0,135,0.000305891,135,1.00E+100,0,0,6.70E-05,1,0,0,0,0,0,0,0,0,69,3,0/8,0,0.000992775,135
poi-7-1,2,1.33,32,1,115,191,0,0.007097,0,191,0.00413084,191,209,0,0,0.000136,2,0,0,0,0,0,0,0,0,101,4,0/8,0,0.00375104,191
poi-7-1,2,1.33,32,2,75,135,0,0.004776,0,135,0.000337839,135,1.00E+100,0,0,7.70E-05,1,0,0,0,0,0,0,0,0,69,3,0/8,0,0.000746012,135
poi-7-1,2,1.33,32,2,115,191,0,0.005263,0,191,0.00303197,191,209,0,0,0.0001,2,0,0,0,0,0,0,0,0,101,4,0/8,0,0.00391889,191
poi-7-1,2,1.33,32,3,75,135,0,0.005521,0,135,0.000435114,135,1.00E+100,0,0,8.60E-05,1,0,0,0,0,0,0,0,0,69,3,0/8,0,0.00120306,135
poi-7-1,2,1.33,32,3,115,191,0,0.005831,0,191,0.00324392,191,209,0,0,0.000114,2,0,0,0,0,0,0,0,0,101,4,0/8,0,0.00291109,191
