InstanceName	alpha	beta	L	m	Tmax	ObjValue	CpuTime	IterToBest	TimeToBest	InsertionTruckCount	InsertionSortieCount
r-100-1	1	1	12	3	292	5025	153.4204359	9108	99.0127468	731734882	550562265
r-100-1	1	1	25	1	146	2744	65.2421988	10414	43.9538033	516532025	247204651
r-100-1	1	1	25	1	292	4865	154.9176815	2955	58.1541537	515105841	580428799
r-100-1	1	1	25	2	146	2944	57.8392522	2904	20.7406661	189700368	444231306
r-100-1	1	1	25	2	292	5006	297.0681125	3879	129.0133966	385196108	-1972659881
r-100-1	1	1	25	3	146	3074	51.7181081	153	1.4543902	93465326	484906211
r-100-1	1	1	25	3	292	5146	567.5876961	5916	305.262377	332764477	123469400
r-100-2	1	1	12	1	139	2716	20.9144845	3298	9.0791698	288601732	16826564
r-100-2	1	1	12	1	278	4516	68.9783925	2940	25.4457321	574521718	52736362
r-100-2	1	1	12	2	139	2874	23.8254491	4296	11.2902734	250965587	49282617
r-100-2	1	1	12	2	278	4771	102.3548559	6322	56.9244721	656827556	214631543
r-100-2	1	1	12	3	139	3001	29.7481795	6040	16.6053088	265962072	91605383
r-100-2	1	1	12	3	278	4800	103.0309413	6038	56.0165655	570468765	330055322
r-100-2	1	1	25	1	139	2678	30.3000762	2918	10.9760491	231451673	126941289
r-100-2	1	1	25	1	278	4591	203.897476	7773	123.0210619	792457146	747798047
r-100-2	1	1	25	2	139	2987	77.1818394	7518	46.3031371	239574870	628085023
r-100-2	1	1	25	2	278	4848	239.7094566	4645	114.8084783	376847270	1891147855
r-100-2	1	1	25	3	139	3163	87.9734937	5538	46.3736088	148487378	852020108
r-100-2	1	1	25	3	278	4998	389.5643951	5585	202.4484831	297924433	-1086739526
r-100-3	1	1	12	1	145	2496	28.3209031	6299	15.8991041	371208857	23376469
r-100-3	1	1	12	1	290	4695	89.9351964	4059	41.2056267	664189343	68817733
r-100-3	1	1	12	2	145	2760	39.4779244	9872	26.1248574	378447219	90394907
r-100-3	1	1	12	2	290	4890	156.7088158	10893	107.8584628	924769430	346323610
r-100-3	1	1	12	3	145	2760	28.4165122	5494	14.6030188	233974685	97421552
r-100-3	1	1	12	3	290	4964	145.8342228	9559	96.2651862	744538975	492144913
r-100-3	1	1	25	1	145	2560	49.2083157	7176	29.0276242	369455939	202665089
r-100-3	1	1	25	1	290	4835	143.4900424	3315	56.5982168	518048960	518145081
r-100-3	1	1	25	2	145	2804	44.2281485	1476	9.715279	132749570	361702557
r-100-3	1	1	25	2	290	5194	451.8079773	11694	314.0954752	683838188	-707422760
r-100-3	1	1	25	3	145	3204	95.2220267	5833	50.191011	158301949	935409111
r-100-3	1	1	25	3	290	5393	689.5737914	12275	488.1398385	500408775	1499111891
r-100-4	1	1	13	1	138	2415	19.7262311	3753	8.494244	289923256	14264348
r-100-4	1	1	13	1	277	4298	125.2569866	7724	75.5419584	900312212	90436860
r-100-4	1	1	13	2	138	2536	29.7432322	7592	17.8795412	330405451	59179605
r-100-4	1	1	13	2	277	4456	99.5587273	5759	52.1021676	625605874	216081667
r-100-4	1	1	13	3	138	2675	54.7315054	16708	42.070279	514609143	165227081
r-100-4	1	1	13	3	277	4563	84.9004773	3583	34.9646219	440025972	284846617
r-100-4	1	1	27	1	138	2449	18.4187075	314	1.0624634	154081810	74224672
r-100-4	1	1	27	1	277	4306	139.1288785	3706	57.6832253	546522121	520250336
