InstanceName	alpha	beta	L	m	Tmax	ObjValue	CpuTime	IterToBest	TimeToBest	InsertionTruckCount	InsertionSortieCount
r-100-1	1	1	25	1	146	2665	4.8107582	1516	1.1595223	133111593	2946076
r-100-1	1	1	25	1	292	4526	14.3380482	884	2.3193958	307330737	7020842
r-100-1	1	1	25	2	146	2811	4.8231578	1385	1.0251828	100377274	7400763
r-100-1	1	1	25	2	292	4753	13.5360123	582	1.4645898	217554981	17472150
r-100-1	1	1	25	3	146	2897	5.0676657	1346	1.0807316	82162205	12818037
r-100-1	1	1	25	3	292	4973	20.5365761	3099	8.0266383	257502235	46737869
r-100-2	1	1	12	1	139	2564	4.9294547	1480	1.2961534	150315152	499641
r-100-2	1	1	12	1	278	4439	20.8749669	3518	9.6360719	505906903	1271004
r-100-2	1	1	12	2	139	2711	4.7617363	1616	1.3144852	131426268	1268566
r-100-2	1	1	12	2	278	4497	38.1666281	11822	27.3639172	850504718	7138267
r-100-2	1	1	12	3	139	2805	3.4932595	14	0.0062356	89570769	1674446
r-100-2	1	1	12	3	278	4741	16.0792048	2263	5.5153161	342067967	5035209
r-100-2	1	1	25	1	139	2504	5.0466072	2828	1.9377535	148500326	3438844
r-100-2	1	1	25	1	278	4190	12.4436092	1624	3.2711741	316016464	5977099
r-100-2	1	1	25	2	139	2593	3.1992171	20	0.0179378	70958515	5565291
r-100-2	1	1	25	2	278	4347	16.0814404	3374	6.755196	304576321	21999010
r-100-2	1	1	25	3	139	2831	3.3327961	88	0.0645713	57092315	9353006
r-100-2	1	1	25	3	278	4387	9.6067848	0	0	147479339	20964193
r-100-3	1	1	12	1	145	2373	7.7456445	5346	4.0868036	230067222	743710
r-100-3	1	1	12	1	290	4520	26.2700712	5377	14.3931426	617284562	1618242
r-100-3	1	1	12	2	145	2578	8.3728259	6688	4.9048452	227475402	2163061
r-100-3	1	1	12	2	290	4804	19.1055892	2952	7.6361572	408345759	3405825
r-100-3	1	1	12	3	145	2713	15.2466936	16631	11.8289288	380835114	6693010
r-100-3	1	1	12	3	290	4899	29.4218022	7672	18.5929375	612985726	8034864
r-100-3	1	1	25	1	145	2299	4.0277564	1044	0.7224444	114985793	2699286
r-100-3	1	1	25	1	290	4679	16.2192485	2889	6.1216865	387050789	7200752
r-100-3	1	1	25	2	145	2549	3.8568089	639	0.4644566	83422744	6611719
r-100-3	1	1	25	2	290	4638	10.8373969	284	0.6336517	198876075	13013795
r-100-3	1	1	25	3	145	2676	3.6532904	47	0.0384413	61584774	9544522
r-100-3	1	1	25	3	290	4893	11.8481691	499	1.1124294	169268960	24092385
r-100-4	1	1	13	1	138	2408	6.1623324	3322	2.4670727	190047849	633222
r-100-4	1	1	13	1	277	4111	17.1135174	1964	5.1086947	400553387	1407224
r-100-4	1	1	13	2	138	2478	7.8244689	5547	4.217117	217920512	2018458
r-100-4	1	1	13	2	277	4333	15.1482568	1456	3.7193868	326067113	3589084
r-100-4	1	1	13	3	138	2517	9.6239813	7782	6.0734872	253163897	4069628
r-100-4	1	1	13	3	277	4401	20.0063463	4085	9.2728803	420327385	8676188
r-100-4	1	1	27	1	138	2371	3.5047923	816	0.5176546	103974742	2320154
r-100-4	1	1	27	1	277	4238	11.6846636	662	1.5041698	269838653	5717665
r-100-4	1	1	27	2	138	2487	3.2924096	502	0.3207702	74235965	5610672
r-100-4	1	1	27	2	277	4369	15.6394569	2402	5.4020165	271721793	19718832
r-100-4	1	1	27	3	138	2859	3.8539064	1168	0.7854042	66946210	10482432
r-100-4	1	1	27	3	277	4401	13.4279337	1314	2.8906289	188400820	28311108
r-100-5	1	1	12	1	132	2482	6.5479349	3156	2.8537676	199483181	694599
r-100-5	1	1	12	1	264	4330	30.7101832	7182	18.792555	734552921	2006509
r-100-5	1	1	12	2	132	2648	10.0591408	9048	6.4935749	277104742	3020689
r-100-5	1	1	12	2	264	4566	28.455468	6896	17.2567256	636423059	4665180
r-100-5	1	1	12	3	132	2785	4.8377761	1514	1.1862828	114502425	2293851
r-100-5	1	1	12	3	264	4611	17.9955879	3252	7.4016847	382760817	6892778
r-100-5	1	1	24	1	132	2395	3.9740172	895	0.6651073	114600146	2818592
r-100-5	1	1	24	1	264	4338	17.0967866	3268	7.0893952	411996157	8188978
r-100-5	1	1	24	2	132	2621	5.3031999	2756	2.0135685	110628745	10454777
r-100-5	1	1	24	2	264	4361	9.9631838	0	0	186594622	12902334
r-100-5	1	1	24	3	132	2812	3.5133826	60	0.0497496	59298060	10026716
r-100-5	1	1	24	3	264	4668	21.2182722	5196	10.8759819	308767989	47365986
r-125-1	1	1	11	1	151	3317	13.2787653	2714	5.2022707	377015987	1571162
r-125-1	1	1	11	1	303	5371	26.0225616	17	0.0568679	564473187	2037163
r-125-1	1	1	11	2	151	3536	20.5625591	7345	12.5690211	507072931	6718920
r-125-1	1	1	11	2	303	5505	43.277274	3435	18.6767398	836920197	8162128
r-125-1	1	1	11	3	151	3740	12.26526	2584	4.3590337	274870637	7201898
r-125-1	1	1	11	3	303	5670	54.7479523	6433	31.8406398	1023053216	18823238
r-125-1	1	1	23	1	151	3194	7.9274153	274	0.4694575	217620854	5407177
r-125-1	1	1	23	1	303	5484	24.8342741	342	1.9425432	530026379	11905900
r-125-1	1	1	23	2	151	3506	8.1309928	162	0.2949204	163783464	13596948
r-125-1	1	1	23	2	303	5733	24.6038709	0	0	379933606	30076971
r-125-1	1	1	23	3	151	3850	12.0525505	1756	3.5101762	178097189	33713979
r-125-1	1	1	23	3	303	5869	25.8360235	0	0	301769684	53197115
r-125-2	1	1	13	1	153	2885	8.8144064	1343	2.2468251	259001682	1252508
r-125-2	1	1	13	1	307	4872	26.6271831	577	3.213025	579069899	2947954
r-125-2	1	1	13	2	153	3124	9.9072979	2128	3.4329441	254837016	3657978
r-125-2	1	1	13	2	307	5243	37.9875193	2871	15.2253623	728651362	10397216
r-125-2	1	1	13	3	153	3198	17.1142901	7826	10.7065633	400362382	11727372
r-125-2	1	1	13	3	307	5444	38.2308333	3455	16.6673508	691562054	19967982
r-125-2	1	1	26	1	153	3078	6.4861056	454	0.6129048	186484152	4337867
r-125-2	1	1	26	1	307	4983	21.2841978	262	1.0636989	470016576	10410407
r-125-2	1	1	26	2	153	3227	8.2079964	1358	1.9799342	170898666	14445050
r-125-2	1	1	26	2	307	5215	23.9324324	633	2.8437885	388008305	30344031
r-125-2	1	1	26	3	153	3320	7.9316275	739	1.1547293	125473676	21655730
r-125-2	1	1	26	3	307	5208	22.3546262	37	0.1198797	281385354	45275966
r-125-3	1	1	12	1	156	2849	8.9428057	1535	2.433006	268179427	909060
r-125-3	1	1	12	1	312	4746	56.6718215	7495	34.2648584	1301119212	4289698
r-125-3	1	1	12	2	156	3179	6.5950205	28	0.0212378	171168102	1945192
r-125-3	1	1	12	2	312	4917	47.2984943	5005	25.1472324	941862429	7956234
r-125-3	1	1	12	3	156	3228	8.3438596	1072	1.7294697	195432814	3964225
r-125-3	1	1	12	3	312	5142	42.9331298	4629	21.5544184	804020689	14751487
r-125-3	1	1	25	1	156	2820	6.7602932	682	0.9034432	199766024	4570997
r-125-3	1	1	25	1	312	4705	21.5147171	637	2.590215	511452813	9740706
r-125-3	1	1	25	2	156	3097	7.0749845	531	0.7846409	155478579	12647069
r-125-3	1	1	25	2	312	4732	22.6927173	662	2.9070088	397657814	27674851
r-125-3	1	1	25	3	156	3180	6.8113966	0	0	114673323	18644880
r-125-3	1	1	25	3	312	5042	22.3011619	282	1.1869224	299411882	43573139
r-125-4	1	1	12	1	166	3033	13.839072	3442	5.9681141	402842413	1518708
r-125-4	1	1	12	1	332	4998	30.8739825	876	5.3064661	668165575	2160921
r-125-4	1	1	12	2	166	3074	10.8995921	1817	3.1460953	277765130	3198150
r-125-4	1	1	12	2	332	5436	66.0388535	7678	41.7485427	1286216297	11216174
r-125-4	1	1	12	3	166	3284	9.8981548	1323	2.2533838	232753188	5297953
r-125-4	1	1	12	3	332	5389	47.9758649	5026	25.0477492	897027188	17269892
r-125-4	1	1	25	1	166	2881	9.5291226	1512	2.3034197	267274764	6306841
r-125-4	1	1	25	1	332	4956	30.3576171	1588	7.8822087	649794145	13223257
r-125-4	1	1	25	2	166	3073	7.699008	73	0.1002424	161170009	12855217
r-125-4	1	1	25	2	332	5181	28.5171216	963	5.0573589	452143719	33123488
r-125-4	1	1	25	3	166	3334	11.0472596	1654	2.9526428	171338707	31333752
r-125-4	1	1	25	3	332	5354	30.4554027	1054	5.520495	370031522	59561102
r-125-5	1	1	13	1	157	2820	9.6375156	2146	3.0515338	283721619	1174478
r-125-5	1	1	13	1	314	5165	25.8883154	340	1.7614139	561031979	2775462
r-125-5	1	1	13	2	157	3058	9.7261086	2129	3.1533123	246725497	2975000
r-125-5	1	1	13	2	314	5516	40.5134927	3330	16.9795898	747834614	11477878
r-125-5	1	1	13	3	157	3084	6.7791751	239	0.2975722	155144800	4097561
r-125-5	1	1	13	3	314	5781	51.3429669	6248	29.152903	895151347	28354800
r-125-5	1	1	26	1	157	2807	6.8064385	779	0.9703901	196507938	4595509
r-125-5	1	1	26	1	314	5281	25.4337307	401	1.9661423	507615338	11541630
r-125-5	1	1	26	2	157	2990	6.3701006	291	0.3490546	138931956	10689558
r-125-5	1	1	26	2	314	5603	24.1219539	211	0.9597205	376411377	30236337
r-125-5	1	1	26	3	157	3365	7.2247106	575	0.7964305	118692242	19493818
r-125-5	1	1	26	3	314	5779	24.4739356	75	0.3528882	292758241	51568899
r-150-1	1	1	12	1	170	3438	20.674182	4010	9.5990283	607063546	2151728
r-150-1	1	1	12	1	340	6015	53.3326664	1118	11.3642307	1110772222	3622293
r-150-1	1	1	12	2	170	3640	14.4253723	1359	3.4230632	360283202	3981468
r-150-1	1	1	12	2	340	6564	77.2249128	4070	35.7606041	1377795249	16009078
r-150-1	1	1	12	3	170	3730	24.2589404	5832	13.4517712	548306251	12369168
r-150-1	1	1	12	3	340	6765	63.9341001	2784	24.3536101	1063730638	22855133
r-150-1	1	1	25	1	170	3450	10.9115161	467	1.023396	324609555	6273856
r-150-1	1	1	25	1	340	5878	41.6599306	390	3.2272013	863547436	15354870
r-150-1	1	1	25	2	170	3719	13.3648591	1329	3.1769096	287355201	22193556
r-150-1	1	1	25	2	340	6055	47.8614652	1339	11.2520396	793416500	54867802
r-150-1	1	1	25	3	170	3964	14.0587995	1183	3.142006	230055648	36688215
r-150-1	1	1	25	3	340	6304	42.84097	381	3.455021	541156296	77067526
r-150-2	1	1	12	1	155	3300	18.106705	2840	7.2168306	525243341	2163372
r-150-2	1	1	12	1	311	5842	66.0138876	2728	24.366565	1356435931	6278648
r-150-2	1	1	12	2	155	3549	20.3587159	4145	9.3687417	496048140	7416635
r-150-2	1	1	12	2	311	6246	90.2798818	5750	49.4325662	1593644702	24946355
r-150-2	1	1	12	3	155	3813	11.4243041	270	0.5520019	248540229	7829513
r-150-2	1	1	12	3	311	6630	122.1197644	10168	82.9810531	2018289817	63412251
r-150-2	1	1	24	1	155	3147	12.0606779	1082	2.3312782	345968004	7136696
r-150-2	1	1	24	1	311	6228	44.6345247	877	7.7745741	927689074	19246504
r-150-2	1	1	24	2	155	3334	10.382418	225	0.4756406	223247646	15725364
r-150-2	1	1	24	2	311	6144	42.5526484	393	3.4623378	643493653	47613402
r-150-2	1	1	24	3	155	3837	13.0746378	1027	2.431294	214298938	32965253
r-150-2	1	1	24	3	311	6536	45.1359707	557	4.7873875	532616403	84327694
r-150-3	1	1	12	1	170	3273	11.6038602	0	0	341828131	1525489
r-150-3	1	1	12	1	340	5695	42.1871922	136	1.3392241	906473277	3647084
r-150-3	1	1	12	2	170	3632	16.5201924	1961	4.9702348	403593738	5538124
r-150-3	1	1	12	2	340	6138	73.4706958	3422	33.1874514	1315703629	14681154
r-150-3	1	1	12	3	170	3712	15.2360803	1428	3.8578132	330383513	8750574
r-150-3	1	1	12	3	340	6268	80.8308219	5177	41.854874	1328162960	36194635
r-150-3	1	1	25	1	170	3436	10.86242	0	0	315985608	7291096
r-150-3	1	1	25	1	340	5537	35.4366269	0	0	811060572	16651142
r-150-3	1	1	25	2	170	3767	11.9766979	0	0	250211000	21351573
r-150-3	1	1	25	2	340	5885	55.5454144	1938	17.118237	881388065	71559674
r-150-3	1	1	25	3	170	3982	13.5250068	0	0	203439681	35793077
r-150-3	1	1	25	3	340	6120	42.6675765	0	0	504695487	78824965
r-150-4	1	1	12	1	172	3641	21.3687492	2478	8.8655278	578570904	2843452
r-150-4	1	1	12	1	345	6212	67.4943653	2135	22.3599745	1337526807	6059159
r-150-4	1	1	12	2	172	4103	24.817126	4443	12.2155644	572859306	9427180
r-150-4	1	1	12	2	345	6552	86.8123702	4100	41.95352	1456112397	21329354
r-150-4	1	1	12	3	172	4165	14.235627	531	1.6403717	291980561	9642037
r-150-4	1	1	12	3	345	7065	96.3484578	5921	54.3320436	1530123691	45718733
r-150-4	1	1	24	1	172	3601	11.8491686	239	0.5968828	339909014	7342141
r-150-4	1	1	24	1	345	6115	42.3258961	312	2.7942424	895308938	18553248
r-150-4	1	1	24	2	172	3766	12.4891281	168	0.4964642	261444011	19783522
r-150-4	1	1	24	2	345	6541	42.4631183	0	0	650253968	47648418
r-150-4	1	1	24	3	172	4227	18.4297443	1423	5.1792377	269717050	50156458
r-150-4	1	1	24	3	345	6646	47.2828561	0	0	527403921	86407224
r-150-5	1	1	12	1	174	3795	21.8118737	2993	8.7780069	606190036	2661660
r-150-5	1	1	12	1	348	6194	43.6341997	26	0.1312296	901294684	3698196
r-150-5	1	1	12	2	174	4077	25.9776365	4641	13.1931434	616314632	8420216
